id,tipoPlan,caracteristicas
1,Function-based,Quality-focused bandwidth-monitored core
2,composite,Self-enabling neutral data-warehouse
3,algorithm,Horizontal high-level task-force
4,Integrated,Adaptive transitional frame
5,Seamless,Focused impactful approach
6,time-frame,Business-focused systemic matrix
7,Future-proofed,Future-proofed empowering success
8,Configurable,Profound motivating model
9,Profound,Realigned hybrid database
10,array,Diverse 24 hour Graphical User Interface
11,optimizing,Adaptive cohesive task-force
12,Networked,Seamless executive software
13,systematic,Balanced multimedia initiative
14,orchestration,Seamless multi-state throughput
15,demand-driven,Universal incremental access
16,attitude-oriented,Inverse client-server collaboration
17,Open-architected,Total fresh-thinking algorithm
18,eco-centric,Exclusive bi-directional superstructure
19,core,Focused client-driven productivity
20,extranet,Switchable zero tolerance migration
21,encompassing,Multi-tiered asymmetric extranet
22,Business-focused,Expanded zero administration workforce
23,web-enabled,Proactive analyzing application
24,Ameliorated,Seamless homogeneous infrastructure
25,explicit,Focused demand-driven workforce
26,encoding,Persevering 6th generation middleware
27,complexity,Adaptive bi-directional core
28,client-server,User-centric empowering portal
29,value-added,Visionary eco-centric encryption
30,neutral,Managed contextually-based concept
31,3rd generation,Optional object-oriented internet solution
32,radical,Streamlined impactful software
33,grid-enabled,Visionary static protocol
34,Digitized,Profit-focused contextually-based open system
35,service-desk,Multi-layered background budgetary management
36,responsive,Organic solution-oriented intranet
37,Inverse,Ergonomic upward-trending open system
38,context-sensitive,Synchronised coherent intranet
39,concept,Decentralized value-added synergy
40,moratorium,Implemented optimizing access
41,open system,Expanded system-worthy conglomeration
42,Future-proofed,Innovative system-worthy policy
43,bottom-line,Implemented mission-critical architecture
44,multimedia,Optional real-time parallelism
45,Secured,Balanced bottom-line data-warehouse
46,toolset,Robust 5th generation paradigm
47,next generation,Extended bottom-line approach
48,Compatible,Decentralized executive archive
49,Networked,Down-sized even-keeled local area network
50,Diverse,Diverse fresh-thinking hierarchy
51,Grass-roots,Extended leading edge extranet
52,Robust,Enhanced object-oriented attitude
53,Ergonomic,Organized executive parallelism
54,object-oriented,Cross-group maximized adapter
55,Sharable,Universal mobile database
56,product,Networked high-level standardization
57,global,Vision-oriented incremental frame
58,Sharable,Assimilated client-driven success
59,knowledge user,Phased heuristic access
60,dynamic,Open-architected 24 hour complexity
61,regional,Automated 24/7 solution
62,foreground,Expanded solution-oriented strategy
63,even-keeled,Versatile client-server utilisation
64,Sharable,Persistent encompassing capacity
65,bifurcated,Team-oriented contextually-based hardware
66,methodology,Multi-layered context-sensitive portal
67,middleware,Fundamental upward-trending initiative
68,core,Grass-roots value-added secured line
69,Proactive,Decentralized regional superstructure
70,methodology,Visionary multimedia intranet
71,neutral,Enhanced 24 hour implementation
72,Configurable,Enterprise-wide incremental interface
73,Re-contextualized,Organic demand-driven architecture
74,Ergonomic,Front-line systemic access
75,benchmark,Down-sized even-keeled circuit
76,Assimilated,Reduced high-level array
77,Automated,Organized logistical knowledge base
78,hardware,Networked methodical ability
79,task-force,Virtual intermediate alliance
80,client-server,Optional global instruction set
81,Front-line,Synergized intangible access
82,3rd generation,Enterprise-wide full-range strategy
83,impactful,Ameliorated 3rd generation service-desk
84,matrices,User-friendly transitional interface
85,zero defect,Progressive incremental middleware
86,Robust,Self-enabling intermediate concept
87,clear-thinking,Digitized global analyzer
88,Pre-emptive,Visionary dynamic concept
